GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
animal-project,com.example,Feline,0,15,0,0,0,5,0,5,0,5
animal-project,com.example,Animal,0,27,0,4,0,7,0,5,0,3
animal-project,com.example,Lion,0,38,0,4,0,11,0,6,0,4
animal-project,com.example,Cat,0,12,0,0,0,5,0,3,0,3
